station,province,rows,hr_name,hr_lat,hr_lon,hr_concs,hr_ambiguous,csd_id,csd_name,wikidata_qid,csd_ambiguous
"""",BRITISH COLUMBIA,2,,,,,,,,,
$St. Boniface,MANITOBA,6,,,,,,MB160012,"St. Boniface, C",Q1004192,
(Alliance Subdivision),ALBERTA,4,,,,,,,,,
(Also Tichfield),SASKATCHEWAN,8,,,,,,,,,
(Asquith Pit),SASKATCHEWAN,1,,,,,,,,,
(Birdview),SASKATCHEWAN,4,,,,,,,,,
(Factoria),SASKATCHEWAN,1,,,,,,,,,
(Hawthorne),SASKATCHEWAN,2,,,,,,,,,
(Joint trackage),SASKATCHEWAN,8,,,,,,,,,
(Linwood),SASKATCHEWAN,1,,,,,,,,,
(Marpole),BRITISH COLUMBIA,14,,,,,,,,,
(Martin's Spur),MANITOBA,1,,,,,,,,,
(Mfg. E.),MANITOBA,1,,,,,,,,,
(Mooswa),ALBERTA,1,,,,,,,,,
(P.O. name Hanson),SASKATCHEWAN,2,,,,,,,,,
"(P.O. name, Hanson)",SASKATCHEWAN,1,,,,,,,,,
(P.O. named Enilda),ALBERTA,1,,,,,,,,,
(See Grouard),ALBERTA,1,,,,,,,,,
(See Page 31),MANITOBA,1,,,,,,,,,
(See page 105),SASKATCHEWAN,6,,,,,,,,,
(See page 109),SASKATCHEWAN,4,,,,,,,,,
(See page 112),SASKATCHEWAN,4,,,,,,,,,
(See page 114),SASKATCHEWAN,1,,,,,,,,,
(See page 119),SASKATCHEWAN,1,,,,,,,,,
(See page 120),SASKATCHEWAN,2,,,,,,,,,
(See page 125),ALBERTA,1,,,,,,,,,
(See page 126),ALBERTA,1,,,,,,,,,
(See page 129),ALBERTA,1,,,,,,,,,
(See page 13),MANITOBA,1,,,,,,,,,
(See page 131),ALBERTA,2,,,,,,,,,
(See page 132),ALBERTA,1,,,,,,,,,
(See page 134),ALBERTA,1,,,,,,,,,
(See page 135),ALBERTA,3,,,,,,,,,
(See page 137),ALBERTA,1,,,,,,,,,
(See page 139),ALBERTA,3,,,,,,,,,
(See page 141),ALBERTA,1,,,,,,,,,
(See page 142),ALBERTA,3,,,,,,,,,
(See page 143),ALBERTA,4,,,,,,,,,
(See page 144),ALBERTA,2,,,,,,,,,
(See page 145),ALBERTA,1,,,,,,,,,
(See page 146),ALBERTA,2,,,,,,,,,
(See page 147),ALBERTA,4,,,,,,,,,
(See page 148),ALBERTA,5,,,,,,,,,
(See page 150),ALBERTA,1,,,,,,,,,
(See page 151),ALBERTA,1,,,,,,,,,
(See page 152),ALBERTA,6,,,,,,,,,
(See page 153),ALBERTA,4,,,,,,,,,
(See page 154),ALBERTA,1,,,,,,,,,
(See page 155),ALBERTA,2,,,,,,,,,
(See page 156),ALBERTA,2,,,,,,,,,
(See page 157),ALBERTA,3,,,,,,,,,
(See page 158),ALBERTA,2,,,,,,,,,
(See page 159),ALBERTA,5,,,,,,,,,
(See page 160),ALBERTA,2,,,,,,,,,
(See page 161),ALBERTA,6,,,,,,,,,
(See page 162),ALBERTA,3,,,,,,,,,
(See page 163),ALBERTA,4,,,,,,,,,
(See page 164),ALBERTA,6,,,,,,,,,
(See page 165),ALBERTA,3,,,,,,,,,
(See page 168),ALBERTA,4,,,,,,,,,
(See page 169),ALBERTA,4,,,,,,,,,
(See page 17),MANITOBA,1,,,,,,,,,
(See page 170),ALBERTA,1,,,,,,,,,
(See page 172),ALBERTA,20,,,,,,,,,
(See page 173),ALBERTA,1,,,,,,,,,
(See page 174),ALBERTA,2,,,,,,,,,
(See page 174) (F),ALBERTA,1,,,,,,,,,
(See page 19),MANITOBA,1,,,,,,,,,
(See page 20),MANITOBA,2,,,,,,,,,
(See page 21),MANITOBA,2,,,,,,,,,
(See page 23),MANITOBA,4,,,,,,,,,
(See page 24),MANITOBA,2,,,,,,,,,
(See page 28),MANITOBA,1,,,,,,,,,
